도서명,저자,출판사,발행연도,대출횟수,카테고리,저자소개,책소개
파친코 세트,이민진 신승미,인플루엔셜,년 월 일,81,소설시희곡,"['세계', '뜨거운', '관심', '사랑', '받고', '계', '미국인', '소설가', '경계', '으로서의', '날카로운', '시선', '공감', '바탕', '통찰', '력', '복잡다단한', '역사', '본질', '포착', '하며', '제인', '오스틴', '조지', '엘리엇', '잇는', '작가', '찬사', '속', '세계', '작가', '발돋움', '태어난', '작가', '가족', '미국', '뉴욕', '건너갔다', '일대', '역사학', '공부', '후', '조지타운', '대학교', '로스쿨', '졸업', '변호사', '했으나', '건강', '문제', '그만두게', '되면서', '오랜', '꿈이었던', '글쓰기', '시작', '단편소설', '발표', '하며', '주목', '받기', '시작', '했고', '미국', '이민자', '이야기', '담은', '첫', '장편소설', '백만장자', '위', '공짜', '음식', '작가', '로서', '이름', '알렸다도', '번째', '장편소설', '파친코', '작가', '역사학', '학생', '이었던', '자이니치', '라', '불리는', '재일조선인', '이야기', '써야겠다고', '결심', '후', '출', '간', '되기까지', '가까운', '세월', '혼신', '노력', '기울여', '집필', '대작', '일본', '계', '미국인', '남편', '연간', '일본', '머물며', '방대하고', '치밀한', '조사', '취재', '끝', '이야기', '완성', '대에', '걸친', '가족사', '일제강점기', '전쟁', '일본', '버블경제', '이르', '기', '까지의', '역사', '흐름', '속', '다룬', '책', '출', '간', '미국', '사회', '큰', '반향', '일으켰다', '뉴욕타임스', '투데이', '아마존', '개', '넘는', '주요', '매체', '앞', '다투어', '책', '선정', '했고', '미도', '서', '최종', '후보', '올랐다', '개국', '번역', '출', '간되', '며', '세계', '베스트셀러', '오른', '파친코', '새로운', '역사', '써', '나가고', '이민', '진', '작가', '뉴욕', '거주', '하며', '한국인', '디아스포라', '부작', '완결', '될', '세', '번째', '장편소설', '집필', '몰두하고']","['상품', '데', '서', '구성', '상품', '낱개', '반품', '불가', '도서', '파친코', '도서', '파친코', '역사', '버렸지만', '상관없다', '역사', '외면', '당', '재일조선인', '가족', '대', '서', '사극', '세계', '감동', '시킨', '이민', '진', '작가', '화', '제작', '파친코', '새롭게', '출', '간', '한국인', '이야기', '주인공', '될', '가치', '가능한', '오래', '한국인', '이야기', '쓰고', '싶다', '독자', '대에', '걸친', '재일조선인', '가족', '이야기', '그린', '세계', '베스트셀러', '이민', '진', '작가', '장편소설', '파친코', '새롭게', '출', '간', '되었다', '파친코', '재미교포', '세대', '이민', '진', '작가', '달', '세월', '걸쳐', '집필', '대하', '소설', '출', '간', '되어', '뉴욕타임스', '베스트셀러', '올랐다', '세계', '개국', '번역', '수출', '되었으며', '아마존', '개', '주요', '매체', '책', '선정', '되었을', '뿐', '아니라', '미도', '서', '최종', '후보', '이름', '올리며', '평단', '대중', '사로잡은', '작품']"
유미의 세포들  세트,이동건,위즈덤하우스,년 월 일,58,만화라이트노벨,"['웹툰', '달콤한', '데뷔', '특유', '관찰', '력', '라면', '갖고', '공통점', '개개인', '독특함을', '만화', '담아내고', '유미', '그녀', '뇌', '세포', '이야기', '담은', '세', '번째', '작품', '유미', '세포', '네이버', '인기', '리', '연재', '유미', '세포', '만화', '선정', '됐다']","['미친', '공감', '불러일으키는', '유미', '세포', '이야기', '네이버', '인기', '웹툰', '유미', '세포', '단행본', '전격', '출', '간', '화제', '몰고', '다니는', '네이버', '인기', '웹툰', '유미', '세포', '단행본', '출', '간', '되었다', '유미', '세포', '삼십', '대', '초반', '직장인', '여성', '유미', '연애', '일상', '그녀', '세포', '세밀', '담백하게', '표현', '해낸', '작품', '유미', '머릿속', '이성', '감성', '식욕', '패션', '센스', '사랑', '다양한', '감정', '욕망', '담당', '세포', '방식', '행동', '결정', '하는지를', '엉뚱하고', '귀여워', '웃음', '짓게', '만드는', '세포', '농간', '지켜보고', '만으로도', '큰', '공감', '위로', '자아낸다', '때로는', '유쾌하고', '때로는', '뭉클하게', '일상', '그려내는', '이동건', '작가', '유미', '세포', '책', '만나', '보자']"
달러구트 꿈 백화점 ,이미예,팩토리나인,년 월 일,56,소설시희곡,"['부산', '태어났다', '부산', '대', '재료공학', '공부', '반도체', '엔지니어', '크라', '우드', '펀딩', '프로젝트', '주문', '하신', '꿈', '매진', '달러', '구트', '꿈', '백화점', '첫', '소설', '발표', '후원자', '열렬한', '지지', '받아', '성공', '펀딩', '종료', '하였다', '달러', '구트', '꿈', '백화점', '교보', '문고', '영풍문고', '종합', '베스트셀러', '예스', '인터파크', '알라딘', '영풍문고', '뽑은', '책', '수상하였고', '서점', '뽑은', '책', '부천', '창원', '포천', '남양주시', '용인시', '정부', '대구', '책', '선정', '되었다', '상반기', '교보', '문고', '예스', '종합', '베스트셀러', '위', '차지', '하였다']","['여기는', '잠들어야만', '입장', '달러', '구트', '꿈', '백화점', '잠들어야만', '입장', '독특한', '마을', '곳', '들어온', '잠든', '손님', '가장', '인기', '곳', '온갖', '꿈', '모아', '판매', '달러', '구트', '꿈', '백화점', '긴', '잠', '자는', '짧은', '낮잠', '자는', '동물', '대', '성황', '이룬다', '범', '상치', '않은', '혈통', '주인', '장', '달러', '구트', '최측근', '신참', '직원', '페니', '꿈', '만드는', '아가', '넵', '코코', '베일', '둘러싸인', '비고', '어스', '등장', '달러', '구트', '꿈', '백화점', '무의식', '에서만', '존재', '꿈', '정말', '사고팔', '있을까', '기발한', '질문', '답', '찾아가며', '꿈', '만드는', '파는', '사는', '비밀스러운', '에피소드', '담고', '판타지', '소설', '텀블벅', '펀딩', '달성', '전자책', '출', '간', '베스트셀러', '위', '기록', '하며', '수많은', '독자', '요청', '종이', '책', '출', '간하게', '되었다']"
사피엔스,유발 하라리 조현욱 이태수,김영사,년 월 일,52,인문,"['이스라엘', '하이파', '태어나', '영국', '옥스퍼드', '대학교', '중세', '전쟁사', '박사학위', '예루살렘', '히', '브리', '대학교', '역사학', '교수', '재직', '중이', '역사', '생물학', '관계', '호모', '사피', '엔', '스', '동물', '본질', '차이', '역사', '진보', '방향성', '역사', '속', '행복', '문제', '광범위한', '질문', '주제', '연구', '인문학', '분야', '창의성', '독창', '성', '대한', '블론', '스키', '수상했고', '군대', '역사', '관', '논문', '몬카', '수상했다', '이스라엘', '아카데미', '사이언스', '선정', '되었고', '다보스', '열린', '세계', '경', '포럼', '인류', '미래', '관해', '기', '조', '연설', '호모', '데', '우스', '독일', '유력', '경제', '지인', '델스블', '라트', '꼽', '가장', '통찰', '력', '영향력', '경제', '도서', '선정', '되었다기', '선', '세기', '사피', '엔', '스', '위해', '인류', '과거', '미래', '탐색', '인류', '부작', '사피', '엔', '스', '호모', '데', '우스', '세기', '위', '제언', '세계', '개국', '출', '간', '되어', '부', '글로벌', '베스트셀러', '되면서', '세기', '사상계', '신데렐라', '떠오른', '유발', '하라', '리', '유발', '하라', '리', '르네상스', '전쟁', '회고록', '인류', '부작', '사상', '배경', '선행', '연구', '하라', '리', '옥스퍼드', '대학교', '박사학위', '논문', '역사', '미래', '바라보는', '새', '롭고', '대담한', '관점', '제시', '하라', '리', '사상', '원류', '일별', '차례']","['출', '간', '주년', '쇄', '부', '기념', '유발', '하라', '리', '특별', '서문', '수록', '인공', '지능', '시대', '알아야', '코딩', '마음', '역사', '미래', '대한', '가장', '논쟁', '대담한', '대', '서사', '문명', '배', '타고', '진화', '바다', '항해', '인류', '나아갈', '인가', '책', '사랑', '밖에', '없다', '재러드', '다이아몬드', '천재', '사상가', '뉴욕타임스', '유발', '하라', '리', '대표', '작', '사피', '엔', '스', '양장', '특별판', '새롭게', '선보인다', '불황', '이라는', '수식어', '전혀', '어색하지', '않은', '국내', '출판', '시장', '에서도', '사피', '엔', '스', '인문', '교양', '분야', '트렌드', '주도하며', '기준', '쇄', '발행', '부', '판매', '놀라운', '기록', '거두고', '인류', '역사', '미래', '종횡무진', '가로지르는', '사피', '엔', '스', '통찰', '불확실하고', '복잡한', '세계', '이해', '대비', '데', '필요하다', '특별판', '원서', '출', '간', '돌아보고', '위기', '상황', '맞은', '인류', '건네는', '제언', '특별', '서문', '수록', '되었다', '인류', '어려운', '상황', '맞고', '난국', '헤쳐', '나가기', '위해', '해야', '할까', '저자', '나은', '위', '키', '워드', '이해', '강조', '출', '간', '주년', '서문', '글로벌', '베스트셀러', '출', '간', '개인', '소', '보다는', '유례', '없는', '난관', '헤쳐', '나가기', '위해', '동료', '사피', '엔', '스', '전하', '호소', '담겨']"
밑바닥부터 시작하는 딥러닝 ,사이토 고키 개앞맵시,한빛미디어,년 월 일,39, 모바일,"['나가사키', '현', '쓰시마', '태생', '도쿄', '공업', '대학교', '공', '학부', '졸업', '도쿄', '대학', '대학원', '학', '정보', '학부', '석사', '과정', '수료', '기업', '컴퓨터', '비', '전과', '기계학습', '연구개발', '매진', '오라', '일리', '재팬', '밑바닥', '시작', '딥', '러닝', '집필', '했으며', '실천', '파이썬', '컴퓨터', '시스템', '이론', '구현', '실천', '기계학습', '시스템', '번역']","['직접', '구현', '움직여', '보며', '익히는', '가장', '쉬운', '딥', '러닝', '입문', '서', '책', '라이브러리', '프레임워크', '의존', '않고', '딥', '러닝', '핵심', '밑바닥', '직접', '만들어', '보며', '즐겁게', '배울', '본격', '딥', '러닝', '입', '문서', '술술', '읽힐', '쉽게', '설명', '하였고', '역전', '파', '어려운', '내용', '계산', '그래프', '기법', '풀이', '작동', '코드', '직접', '돌려', '보고', '요리조리', '수정', '보면', '어려운', '이론', '명확하게', '이해', '딥', '러닝', '새롭게', '입문', '하려는', '분과', '기초', '다시금', '정리', '싶은', '현', '업', '연구자', '최고', '책', '될']"
아몬드,손원평,창비,년 월 일,38,소설시희곡,"['태어났다', '서강대', '사회학', '철학', '공부', '했고', '영화아카데미', '영화', '영화', '연출', '전공', '씨', '영화', '평론', '받았고', '과학기술', '창작', '문예', '공모', '믿어', '요로', '시나리오', '시놉시스', '부문', '수상했다', '정이', '안', '가는', '의미', '단편영화', '각본', '쓰고', '연출', '첫', '장편소설', '아몬드', '창비', '청소년', '문학상', '수상하여', '등단', '두', '번째', '장편소설', '서른', '반격', '주', '평화', '문학상', '아몬드', '서른', '반격', '일본', '서점', '대상', '수상했다', '장편소설', '프리즘', '소설', '집', '집']","['공감', '불능', '사회', '차가', '움', '녹이는', '아몬드', '매혹', '문체', '독특한', '캐릭터', '속', '도감', '넘치는', '전개', '고통', '공감', '능력', '깨우치게', '강력한', '소설', '영화', '강렬하고', '드라마', '팽팽', '완전히', '새로운', '소설', '나타났다', '감정', '느끼지', '못', '소년', '특별한', '성장', '이야기', '첫', '장', '강렬한', '사건', '시작', '페이지', '궁금해지게', '만드는', '흡입', '력', '강한', '작품', '감정', '무감각', '해진', '공감', '불능', '시대', '큰', '울림', '주는', '소설', '작품', '속', '인물', '관계', '맺고', '슬픔', '공감', '하며', '성장해', '나가는', '과정', '탁월하게', '묘사', '영화', '펼쳐지는', '극적', '사건', '매혹', '문체', '독자', '단숨', '사로잡을', '완득이', '위저드', '베이커리', '잇는', '창비', '청소년', '문학상', '수상작', '아몬드', '주인공', '윤재', '감정', '느끼는', '데', '어려움', '겪는', '독특한', '캐릭터', '말', '행동', '이면', '읽어', '내지', '못', '공포', '분노', '잘', '느끼지', '못', '윤재', '평범하게', '살아가려고', '버텨', '오고', '에게서', '남', '웃으면', '웃고', '호의', '보이', '면', '고맙다고', '말', '식', '주입', '식', '감정', '교육', '받기도', '곧이곧대로', '보는', '괴물', '이라고', '손가락질', '받던', '윤재', '날', '비극', '사건', '맡아', '가족', '잃게', '되면서', '홀로', '남는다', '모든', '잃었다고', '하던', '윤재', '곁', '새로운', '인연', '다가온다', '두운', '상처', '간직', '곤', '반대', '맑은', '감성', '지닌', '도라', '윤재', '돕고', '싶어', '심', '박사', '그러한', '인물', '윤재', '사이', '펼쳐지는', '이야기', '감정', '이해', '한다는', '어려운지', '그럼에도', '소중한', '일인', '지', '다시', '보게', '상실', '애도', '감정', '보듬을', '여유', '잃어버린', '채', '독자', '윤재', '응원', '마음', '되돌아볼', '기회', '얻을', '윤재', '덤덤한', '어조', '역설', '읽는', '이의', '더욱', '슬프게', '미며', '독자', '작품', '깊고', '진실한', '감정', '고양', '경험', '있을']"
우리가 빛의 속도로 갈 수 없다면,김초엽,허블,년 월 일,37,소설시희곡,"['소설가', '년생', '포스텍', '화학', '전공', '생화학', '석사', '학위', '관내', '분실', '빛', '속도', '없다', '면', '과학', '문학상', '중단', '편', '대상', '가작', '수상하며', '작품', '활동', '시작', '쓴', '책', '소설', '집', '빛', '속도', '없다면', '원통', '안', '소녀', '지은', '책', '사이보그', '되다가', '여러', '앤솔러지', '참여', '작가', '문학동네', '젊은', '작가', '수상했다', '우주', '대해', '상상', '걸', '좋아하지만', '우주', '직접', '가고', '싶지는', '않은', '작가', '환상', '시공간', '여행', '외계', '행성', '탐사', '이야기', '열광한다', '취미', '두', '달마', '바뀌는데', '가장', '오래', '가는', '건', '게임', '집', '모든', '종류', '게임', '콘솔', '커다란', '스크린', '구비', '게임방', '만들고', '스스로', '완전히', '격리', '계획', '세우고']","['우아한', '계보', '후', '지난', '겨울', '바이오', '센서', '만드는', '과학', '였던', '김', '초연', '작가', '소설', '쓴다', '관내', '분실', '과학', '문학상', '중단', '편', '부문', '대상', '필명', '낸', '빛', '속도', '없다면도', '동시', '우아한', '계보', '라', '불리', '며', '작품', '활동', '시작', '김', '초연', '작가', '후', '더욱', '도약', '만이', '그려', '낼', '김', '초연', '특유', '작', '품세', '계', '보여주었다', '투명하고', '아름답지만', '순진하지만은', '않은', '에도', '없는', '어딘가', '있을', '같은', '근사한', '세계', '손', '잡힐', '듯', '이야기', '담아', '냈다', '개', '위성', '뜨는', '곳', '에서도', '지지', '않는', '마음', '표', '제작', '빛', '속도', '없다', '면', '매력', '할머니', '과학자', '주인공', '등장', '인물', '소설', '고통', '기꺼이', '감내', '있는지', '생', '끝', '최선', '다한', '다는', '인지', '자꾸만', '묻는', '듯', '문학상', '긴', '초엽', '작품', '더욱', '확장', '세계', '그려', '낸다', '작가', '질문', '단단해진듯', '개', '위성', '뜨는', '행성', '홀로', '남겨져', '외계인', '조우', '될지라도', '스펙트럼', '고통', '없는', '유토피아', '짐짓', '모르는', '질문', '않고', '살아갈', '있을', '에도', '순례', '돌아오지', '않는가', '그럼에도', '불구', '세계', '세계', '알아야겠다고', '용기', '내는', '마음', '사랑', '우정', '말', '하며', '지지', '않는', '마음', '분투', '태도', '긴', '초엽', '소설', '소녀', '영웅', '금메달', '리스트', '필요', '없다', '김', '초엽', '정상', '비정상', '성공', '실패', '주류', '비주류', '경계', '끊임없이', '질문', '미션', '실패했다고', '비난', '받는', '우주인', '일지', '라도', '우주', '영웅', '관', '하여', '소녀', '에게는', '존재', '응원', '성공', '실패', '인가', '우주', '미션', '실패했지만', '소녀', '응원', '성공했다면', '삶', '실패한', '삶', '있을까', '소녀', '영웅', '금메달', '리스트', '필요', '없다', '경계', '선', '소설가', '김초', '업은', '질문', '쨍하', '게', '빛나는', '이야기', '들려준다', '재미있게']"
멋진 신세계,올더스 헉슬리 안정효,소담출판사,년 월 일,37,소설시희곡,"['광범위한', '지식', '뿐', '아니라', '뛰어나고도', '예리한', '지성', '우아한', '문체', '때로는', '오만하고', '냉소', '유머', '감각', '유명한', '영국', '출신', '소설가', '이자', '비평가', '연월일', '서리', '지방', '고달밍', '토머스', '헉슬리', '아들', '태어나', '이튼', '칼리지', '옥스퍼드', '대학교', '졸업', '지적', '정보', '재치', '풍자', '가득', '찬', '다양한', '방면', '저술', '활동', '유명한', '헉슬리', '세기', '관념소설', '큰', '줄기', '이룬', '대표', '작가', '소설가', '로서', '널리', '알려지', '기는', '했으나', '외', '에도', '수필', '전기', '희곡', '시', '많은', '작품', '남겼다', '멋진', '신세계', '발표', '작품', '모든', '존엄성', '상실한', '미래', '과학', '문명', '세계', '신랄하게', '풍자', '야만인', '청년', '두', '세계', '유토피아', '세계', '원시', '세계', '제시', '작품', '문명', '비판', '풍자', '도덕', '교훈', '잘', '맞', '물려', '현대', '문', '명사회', '희화', '묘사', '있으며', '진보', '주의', '대한', '위험', '경고', '멋진', '신세계', '예언', '주제', '심도', '있게', '검토', '다시', '찾아본', '멋진', '신세계', '발표', '활동', '후반기', '힌두', '철학', '신비', '주의', '깊이', '끌렸으며', '경향', '작품', '반영', '되었다', '미국', '정착', '살다가', '연월일', '캘리포니아', '사망', '시집', '불타는', '수레바퀴', '출', '간', '권', '시집', '냈으나', '크롬', '옐로', '인정', '받은', '후', '일생', '소설', '창작', '심혈', '기울이게', '되었다', '대표', '작', '이라고', '여겨지는', '연애', '대위법', '다양한', '연대', '지식인', '풍자', '묘사', '작품', '소설', '세기', '대표', '작가', '되었다', '밖에도', '과학', '문명', '지배', '되어', '가는', '사회', '대한', '날카로운', '비판', '의식', '돋보이는', '멋진', '신세계', '열', '완전히', '실명', '했다가', '차차', '시력', '회복한', '경험', '바탕', '평화', '운동', '추구', '작가', '그린', '가자에서', '눈', '멀어를', '발표', '이는', '헉슬리', '후', '계파', '성향', '지닌', '첫', '소설', '로서', '작품', '세계', '분기점', '노릇', '폭력', '부정', '역설', '목적', '수단', '차', '세계대전', '가상해서', '쓴', '원숭이', '본질', '저서', '영원', '철학', '서구', '지', '성사', '해오던', '영원', '철학', '이라는', '개념', '핵심', '통합', '하여', '종교', '영성', '대한', '이해', '혁명', '바꿔놓았다', '주요', '작품', '으로는', '어릿광대', '춤', '하찮은', '이야기', '연애', '대위법', '멋진', '신세계', '가자에서', '눈', '멀어', '목적', '수단', '원숭이', '본질', '무당', '악마', '천재', '여신', '아일랜드']","['충격', '미래', '문명', '비판', '문학', '고전', '멋진', '신세계', '속', '냉혹한', '미래', '이미', '진행', '중이', '올더스', '헉슬리', '예언', '소설', '멋진', '신세계', '금세기', '미래', '가장', '깊이', '날카롭게', '파헤친', '작품', '현대', '식', '에덴동산', '에서의', '삶', '그린', '이야기', '자유', '도덕', '개념', '낡은', '넝마', '되어', '버린', '현대', '문', '명사회', '회화', '묘사', '하여', '속', '내포', '위험', '경고', '뼈', '아프게', '비판', '고결하게', '지키려는', '헉슬리', '웅변', '선언', '잊지', '말아야', '새터데이', '리뷰', '암울한', '미래', '세계', '그린', '뛰어난', '현대', '고전', '남긴', '올더스', '헉슬리', '명문', '집안', '출신', '영국', '작가', '로서', '광범위한', '지식', '뿐', '아니라', '예리한', '지성', '우아한', '문체', '때로는', '냉소', '유머', '감각', '유명하다', '발표', '작품', '멋진', '신세계', '금세기', '미래', '가장', '깊이', '날카롭게', '파헤친', '작품', '하나로', '평가', '받는다', '멋진', '신세계', '과학', '최고', '발달', '사회', '모든', '면', '관리', '지배', '출생', '자유', '통제', '미래', '문명', '세계', '그린', '작품', '인간성', '상실한', '미래', '세계', '신랄하게', '풍자', '한편', '신의', '영역', '넘', '보는', '오만함을', '경고', '비판', '조지', '오웰', '충격', '미래', '예언', '자유', '도덕성', '대한', '질문', '던진다', '이미', '멋진', '신세계', '구성', '해놓은', '미래', '전주곡', '진행', '세계', '로서', '헉슬리', '풍자', '적이면서도', '냉혹한', '미래', '상이', '앞', '현실', '로서', '대두', '될지', '사뭇', '관심', '거리', '밖에', '없다', '헉슬리', '그리는', '소름', '끼치는', '미래', '공상', '소설', '아니다', '인간성', '맞게', '될', '위기', '다루는', '소재', '삼은', '작품', '멋진', '신세계', '전체주의', '국가', '파멸', '시키는', '참혹한', '과정', '생생하게', '드러나며', '유토피아', '파멸', '이라는', '역설', '두드러지고', '문명', '발달', '몰락', '이라는', '반비례', '원칙', '시한', '헉슬리', '멋진', '신세계', '설정', '해놓은', '악몽', '빠른', '속도', '향', '달려오고', '현대', '과학', '문명', '발달', '점차', '개성', '인격', '상실해가는', '오늘날', '세태', '종착', '지는', '인가']"
감각의 논리,질 들뢰즈,민음사,년 월 일,36,,"['프랑스', '소르본대', '학', '철학', '전공', '후', '파리', '대학', '미셸', '푸코', '뒤', '이어', '교수', '재직', '하다가', '은퇴', '페르디낭', '알키', '조르주', '깡길렘', '장', '폴', '리트', '사사', '인공', '생명', '유지', '장치', '의존', '연명', '아파트', '투신', '하여', '생', '마감', '일찍', '철학사', '해석', '뛰어난', '역량', '독특한', '관점', '인정받았다', '동일성', '초월', '성', '반하는', '차이', '내재', '성의', '사유', '기존', '철학사', '독창', '재', '해석', '니체', '철학', '출판', '현', '대', '철학', '새', '지평', '열었고', '국가', '박사', '학위', '논문', '차이', '반복', '니체', '관점', '서양', '철학사', '새로운', '초상', '그려', '냈다', '성취', '펠릭스', '타', '리', '저술', '안티', '오이디푸스', '정치철학', '근본', '문제', '탐구', '작업', '연장', '되어', '니체', '프로이트', '비판', '마르크스', '수용', '완수', '예술', '과학', '힘', '재', '발견', '주요', '저서', '경험', '주의', '주체성', '칸트', '비판', '철학', '베르크', '손', '주의', '스피노자', '표현', '문제', '의미', '논리', '감각', '논리', '운동', '이미지', '영화', '미지', '영화', '주름', '라이프니츠', '바로크', '타', '리', '천', '개', '고원', '철학', '이란', '인가', '저술']","['책', '프랑스', '철학자', '질', '들뢰즈', '미술', '비평', '구성', '주의', '화가', '대가', '프란시스', '베이컨', '그림', '중심', '철학', '세계', '전개', '책', '금세기', '최고', '석', '학', '가운데', '사람인', '들뢰즈', '해박', '철학', '예술', '문학', '지식', '프', '란스', '시', '베이컨', '그림', '작가', '못', '말', '하도록', '허용', '들뢰즈', '특히', '예술', '감각', '자본', '권력', '종사', '위해', '기만', '당', '말살', '되었는가를', '보여주며', '사유', '사회', '예술', '제반', '양상', '대한', '분석', '다양한', '사유', '이미지', '그려', '낸다', '저자', '책', '단순한', '미술', '비평', '차원', '넘어', '예술사', '관통', '뛰어난', '안목', '미술', '읽는', '철학', '책', '완성']"
불편한 편의점,김호연,나무옆의자,년 월 일,36,소설시희곡,"['영화', '만화', '소설', '넘나', '들며', '온갖', '이야기', '써', '나가는', '천후', '스토리', '텔러', '생', '고려대학교', '인문', '대학', '국어', '국문학', '졸업', '첫', '직장인', '영화사', '공동', '작업', '시나리오', '이중간첩', '영화', '화', '되며', '시나리오', '작가', '되었다', '두', '번째', '직장인', '출판사', '만화', '기획', '자로', '하며', '쓴', '실험', '지대', '부천', '만화', '스토리', '공모전', '대상', '수상하며', '만화', '스토리', '작가', '되었다', '같은', '출판사', '소설', '편집자', '남', '소설', '만지다가', '급기야', '전업', '작가', '나섰다', '젊은', '날', '닥치는', '글쓰기', '실천', '하던', '장편소설', '망원동', '브라더스', '세계문학', '우수상', '수상하며', '소설가', '되었다', '장편소설', '망원동', '브라더스', '연적', '고스트', '라이터', '스', '파우', '스터', '산문', '집', '쓰고', '다시', '쓰고', '끝', '씁니다를', '펴냈고', '영화', '이중간첩', '태양', '쏴라', '시나리오', '남한', '산성', '기획', '참여', '망원동', '브라더스', '동네', '이야기', '시즌', '불편한', '편의점', '출', '간']","['최고', '재미', '감동', '선사', '힐링', '소설', '원조', '주요', '서점', '종합', '베스트셀러', '위', '국립', '중앙', '도서관', '책', '전국', '개', '도시', '책', '해외', '개국', '판권', '수출', '연극', '불편한', '편의점', '절찬', '상연', '불편한데', '자꾸', '가고', '싶은', '편의점', '힘들게', '낸', '위로', '편의점', '밤', '정체', '불명', '알바로', '시작', '웃음', '감동', '나비효과', '망원동', '브라더스', '김호연', '동네', '이야기', '시즌', '세계문학', '우수상', '수상작', '망원동', '브라더스', '데뷔', '후', '일상', '현실', '위트', '있게', '그린', '경쾌한', '작품', '내밀한', '욕망', '기발한', '상상력', '풀어', '낸', '스릴러', '장르', '오가며', '독자', '작품', '세계', '쌓아', '올린', '작가', '김호연', '번째', '장편소설', '불편한', '편의점', '출', '간', '되었다', '불편한', '편의점', '청파동', '골목', '모퉁이', '자리', '잡은', '작은', '편의점', '무대', '힘겨운', '시대', '살아가는', '이웃', '삶', '속', '희로애락', '따뜻하고', '유머러스하게', '담아', '낸', '작품', '망원동', '브라더스', '망원동', '이라는', '공간', '체험', '지리지를', '잘', '활용', '유쾌한', '재미', '공감', '이끌이어', '냈듯', '오래된', '동네', '청파동', '대한', '공감각', '생생하게', '포착', '흥미진진', '동네', '이야기', '탄생', '시켰다', '서울역', '노숙인', '생활', '하던', '독고', '날', '대', '여성', '지갑', '주워', '준', '인연', '그녀', '운영', '편의점', '야간', '아르바이트', '이야기', '시작', '된다', '덩', '치가', '곰', '같은', '사내', '알코올', '성', '치매', '과거', '기억', '못', '데', '말', '어눌하고', '행동', '굼떠', '손님', '제대로', '있을까', '구심', '갖게', '웬걸', '의외로', '꽤', '잘', '해낼', '뿐', '아니라', '주변', '묘', '사로잡으면서', '편의점', '밤', '지키는', '든든한', '일꾼', '되어', '간다', '현', '실감', '넘치는', '캐릭터', '간의', '상호작용', '점', '입가', '경', '형상', '화하는', '데', '일가견', '작가', '작품', '답', '게', '소설', '에서도', '독특한', '개성', '사연', '지닌', '인물', '차례', '등장', '서로', '티격태격하', '며', '별난', '관계', '형성', '간다', '고등학교', '역사', '가르치다', '정년', '퇴', '임하여', '매사', '교사', '본능', '발동', '편의점', '사장', '염', '여사', '필', '두', '대', '취준생', '알바', '시', '현', '대', '생계', '형', '알바', '여사', '밤', '야외', '테이블', '참깨', '라면', '참치', '김밥', '참이슬', '세트', '혼술', '하며', '스트레스', '푸는', '회사원', '경만', '이라는', '각오', '청파동', '글', '쓰러', '들어온', '대', '희곡작가', '인경', '호시탐탐', '편의점', '팔아치울', '기회', '엿보는', '염', '여사', '아들', '민', '식', '민', '식', '의뢰', '받아', '독고', '뒤', '캐는', '사설탐정', '곽', '녹록', '지', '않은', '무게', '현실', '문제', '안고', '시선', '독고', '관찰', '과정', '발생', '오해', '대립', '충돌', '반전', '이해', '공감', '자주', '폭소', '자아내고', '울컥', '눈시울', '붉어지게', '그렇게', '골목길', '작은', '편의점', '불편하기', '짝', '없는', '곳', '이었다가', '고단', '삶', '위로', '웃음', '나누는', '특별한', '공간', '된다']"
